iter	Passed	Remaining
579	2638	20107
580	2642	20098
581	2646	20089
582	2651	20085
583	2655	20079
584	2659	20069
585	2663	20061
586	2667	20055
587	2671	20046
588	2675	20036
589	2679	20029
590	2684	20023
591	2688	20018
592	2692	20008
593	2696	20003
594	2700	19994
595	2704	19985
596	2708	19976
597	2712	19966
598	2716	19958
599	2720	19949
600	2724	19942
601	2728	19935
602	2733	19929
603	2737	19922
604	2741	19912
605	2745	19908
606	2750	19902
607	2753	19893
608	2757	19883
609	2762	19877
610	2766	19870
611	2770	19861
612	2774	19854
613	2778	19849
614	2782	19839
615	2786	19831
616	2790	19821
617	2794	19817
618	2799	19810
619	2803	19801
620	2806	19792
621	2811	19785
622	2815	19777
623	2819	19769
624	2822	19760
625	2827	19755
626	2831	19750
627	2835	19743
628	2839	19733
629	2844	19729
630	2848	19720
631	2852	19712
632	2856	19707
633	2861	19704
634	2865	19695
635	2869	19687
636	2872	19677
637	2877	19673
638	2881	19664
639	2885	19655
640	2889	19648
641	2893	19644
642	2898	19640
643	2902	19631
644	2906	19626
645	2910	19618
646	2915	19612
647	2919	19607
648	2923	19602
649	2928	19600
650	2933	19594
651	2937	19587
652	2942	19585
653	2945	19576
654	2950	19570
655	2954	19563
656	2959	19560
657	2962	19551
658	2966	19544
659	2970	19535
660	2974	19525
661	2978	19515
662	2982	19510
663	2986	19501
664	2990	19494
665	2994	19486
666	2998	19476
667	3002	19468
668	3006	19466
669	3010	19457
670	3014	19449
671	3018	19440
672	3022	19436
673	3027	19429
674	3031	19421
675	3035	19413
676	3039	19409
677	3043	19400
678	3047	19391
679	3050	19382
680	3054	19375
681	3058	19366
682	3063	19360
683	3067	19353
684	3071	19346
685	3075	19339
686	3079	19333
687	3083	19327
688	3087	19320
689	3092	19314
690	3096	19307
691	3100	19299
692	3105	19298
693	3109	19295
694	3113	19288
695	3118	19282
696	3122	19274
697	3125	19264
698	3129	19257
699	3133	19251
700	3138	19246
701	3142	19239
702	3145	19229
703	3150	19224
704	3154	19217
705	3158	19210
706	3162	19203
707	3166	19196
708	3170	19190
709	3174	19182
710	3178	19175
711	3182	19165
712	3186	19159
713	3190	19151
714	3194	19142
715	3198	19135
716	3202	19131
717	3207	19125
718	3211	19119
719	3215	19115
720	3220	19110
721	3223	19102
722	3228	19096
723	3232	19093
724	3236	19085
725	3241	19081
726	3244	19072
727	3249	19069
728	3253	19064
729	3258	19059
730	3262	19054
731	3267	19049
732	3271	19043
733	3275	19038
734	3279	19031
735	3284	19026
736	3287	19017
737	3292	19011
738	3295	19004
739	3299	18996
740	3303	18988
741	3307	18981
742	3311	18974
743	3316	18971
744	3320	18965
745	3324	18958
746	3329	18953
747	3333	18947
748	3337	18940
749	3341	18933
750	3345	18929
751	3349	18923
752	3354	18922
753	3359	18918
754	3364	18918
755	3369	18916
756	3374	18911
757	3378	18907
758	3383	18903
759	3386	18894
760	3390	18888
761	3394	18881
762	3399	18875
763	3403	18870
764	3407	18863
765	3411	18857
766	3416	18853
767	3419	18845
768	3423	18838
769	3428	18835
770	3433	18830
771	3436	18823
772	3440	18815
773	3444	18809
774	3449	18803
775	3453	18797
776	3457	18792
777	3461	18785
778	3465	18779
779	3469	18773
780	3474	18767
781	3478	18762
782	3482	18755
783	3486	18747
784	3490	18741
785	3494	18736
786	3498	18729
787	3503	18725
788	3507	18720
789	3511	18714
790	3515	18707
791	3520	18702
792	3523	18695
793	3527	18687
794	3531	18680
795	3535	18672
796	3539	18666
797	3544	18661
798	3548	18654
799	3551	18646
800	3556	18642
801	3560	18635
802	3564	18628
803	3567	18620
804	3572	18615
805	3576	18610
806	3580	18604
807	3584	18598
808	3588	18592
809	3593	18587
810	3596	18578
811	3600	18572
812	3605	18567
813	3609	18561
814	3613	18553
815	3616	18545
816	3621	18542
817	3625	18535
818	3629	18529
819	3633	18524
820	3638	18518
821	3642	18512
822	3646	18505
823	3650	18498
824	3654	18492
825	3658	18484
826	3662	18479
827	3666	18472
828	3670	18468
829	3674	18462
830	3678	18454
831	3682	18448
832	3687	18444
833	3691	18439
834	3695	18434
835	3699	18427
836	3703	18421
837	3709	18423
838	3714	18421
839	3718	18417
840	3724	18420
841	3729	18419
842	3734	18415
843	3740	18416
844	3745	18414
845	3749	18412
846	3754	18407
847	3759	18408
848	3765	18408
849	3769	18405
850	3774	18401
851	3778	18397
852	3782	18390
853	3787	18386
854	3792	18386
855	3797	18384
856	3802	18382
857	3806	18376
858	3811	18373
859	3815	18367
860	3819	18359
861	3824	18358
862	3829	18359
863	3834	18357
864	3840	18357
865	3844	18353
866	3852	18362
867	3857	18362
868	3862	18362
869	3867	18359
870	3871	18354
871	3877	18353
872	3882	18354
873	3887	18350
874	3893	18355
875	3899	18357
876	3903	18353
877	3909	18354
878	3914	18351
879	3918	18347
880	3923	18344
881	3928	18341
882	3932	18337
883	3937	18332
884	3941	18327
885	3945	18321
886	3949	18313
887	3953	18307
888	3958	18305
889	3962	18298
890	3966	18292
891	3970	18286
892	3975	18284
893	3979	18276
894	3983	18270
895	3987	18264
896	3992	18261
897	3996	18256
898	4000	18251
899	4005	18245
900	4009	18242
901	4014	18238
902	4018	18232
903	4023	18228
904	4027	18223
905	4031	18217
906	4035	18210
907	4040	18207
908	4044	18202
909	4048	18195
910	4052	18188
911	4056	18182
912	4060	18174
913	4064	18168
914	4068	18162
915	4072	18157
916	4076	18152
917	4081	18147
918	4085	18142
919	4090	18138
920	4094	18135
921	4098	18128
922	4103	18124
923	4107	18118
924	4111	18113
925	4115	18106
926	4120	18102
927	4124	18096
928	4128	18089
929	4131	18082
930	4136	18079
931	4140	18073
932	4144	18066
933	4148	18059
934	4153	18057
935	4157	18050
936	4161	18044
937	4165	18038
938	4170	18036
939	4174	18031
940	4178	18025
941	4182	18019
942	4187	18015
943	4191	18009
944	4195	18002
945	4199	17996
946	4204	17993
947	4208	17988
948	4212	17983
949	4217	17978
950	4221	17972
951	4225	17966
952	4229	17960
953	4234	17956
954	4238	17951
955	4242	17944
956	4246	17938
957	4250	17935
958	4255	17929
959	4259	17923
960	4263	17917
961	4268	17915
962	4272	17911
963	4276	17904
964	4280	17899
965	4285	17895
966	4289	17888
967	4293	17882
968	4297	17877
969	4302	17873
970	4306	17867
971	4310	17861
972	4315	17858
973	4319	17852
974	4323	17846
975	4327	17840
976	4332	17839
977	4336	17834
978	4340	17828
979	4346	17829
980	4351	17827
981	4355	17821
982	4359	17815
983	4364	17813
984	4369	17810
985	4373	17803
986	4377	17796
987	4381	17793
988	4386	17789
989	4390	17783
990	4395	17780
991	4399	17774
992	4403	17767
993	4407	17761
994	4411	17756
995	4415	17750
996	4419	17744
997	4423	17738
998	4428	17735
999	4432	17730
1000	4436	17724
1001	4440	17718
1002	4445	17716
1003	4449	17710
1004	4454	17705
1005	4458	17699
1006	4462	17696
1007	4467	17690
1008	4470	17683
1009	4474	17676
1010	4479	17672
1011	4482	17665
1012	4488	17664
1013	4492	17660
1014	4496	17654
1015	4500	17648
1016	4504	17642
1017	4509	17638
1018	4513	17634
1019	4517	17629
1020	4522	17623
1021	4527	17621
1022	4531	17616
1023	4535	17610
1024	4539	17606
1025	4544	17601
1026	4548	17595
1027	4552	17590
1028	4557	17587
1029	4561	17581
1030	4565	17576
1031	4569	17570
1032	4574	17565
1033	4578	17560
1034	4582	17554
1035	4586	17548
1036	4591	17545
1037	4595	17539
1038	4599	17533
1039	4603	17527
1040	4608	17525
1041	4612	17519
1042	4616	17513
1043	4620	17508
1044	4625	17504
1045	4629	17499
1046	4633	17493
1047	4637	17488
1048	4641	17482
1049	4645	17476
1050	4649	17468
1051	4653	17462
1052	4657	17458
1053	4661	17451
1054	4664	17443
1055	4669	17438
1056	4673	17432
1057	4677	17427
1058	4681	17422
1059	4685	17416
1060	4690	17411
1061	4693	17405
1062	4698	17400
1063	4702	17394
1064	4706	17390
1065	4710	17383
1066	4714	17377
1067	4718	17372
1068	4722	17366
1069	4727	17361
1070	4730	17354
1071	4735	17350
1072	4739	17344
1073	4743	17338
1074	4747	17332
1075	4751	17327
1076	4754	17319
1077	4758	17312
1078	4762	17305
1079	4766	17298
1080	4770	17293
1081	4774	17288
1082	4778	17282
1083	4782	17278
1084	4786	17272
1085	4790	17266
1086	4794	17260
1087	4798	17254
1088	4803	17250
1089	4807	17244
1090	4811	17238
1091	4815	17232
1092	4819	17229
1093	4824	17225
1094	4828	17220
1095	4833	17216
1096	4837	17212
1097	4842	17207
1098	4846	17201
1099	4850	17198
1100	4855	17193
1101	4859	17188
1102	4863	17182
1103	4868	17180
1104	4872	17176
1105	4877	17171
1106	4881	17168
1107	4885	17162
1108	4890	17158
1109	4894	17151
1110	4899	17149
1111	4903	17144
1112	4907	17139
1113	4912	17135
1114	4916	17130
1115	4920	17124
1116	4924	17118
1117	4928	17114
1118	4933	17109
1119	4937	17104
1120	4941	17099
1121	4945	17094
1122	4949	17088
1123	4953	17083
1124	4957	17076
1125	4962	17072
1126	4966	17066
1127	4970	17061
1128	4974	17056
1129	4979	17052
1130	4983	17048
1131	4988	17043
1132	4992	17040
1133	4997	17036
1134	5001	17030
1135	5006	17028
1136	5010	17023
1137	5015	17019
1138	5019	17014
1139	5024	17011
1140	5028	17006
1141	5032	17002
1142	5037	16999
1143	5042	16994
1144	5045	16988
1145	5050	16983
1146	5055	16980
1147	5059	16975
1148	5063	16970
1149	5067	16965
1150	5072	16962
1151	5076	16956
1152	5080	16950
1153	5084	16946
1154	5089	16942
1155	5093	16936
1156	5097	16930
1157	5101	16926
1158	5106	16922
1159	5110	16917
1160	5114	16911
1161	5118	16906
1162	5122	16901
1163	5126	16895
1164	5130	16889
1165	5135	16886
1166	5139	16879
1167	5143	16875
1168	5147	16869
1169	5152	16866
1170	5156	16861
1171	5160	16855
1172	5164	16850
1173	5169	16845
1174	5173	16840
1175	5177	16835
1176	5181	16829
1177	5185	16825
1178	5190	16820
1179	5194	16814
1180	5198	16811
1181	5203	16806
1182	5207	16801
1183	5211	16795
1184	5215	16791
1185	5219	16786
1186	5223	16780
1187	5227	16774
1188	5231	16769
1189	5236	16765
1190	5240	16760
1191	5244	16754
1192	5249	16751
1193	5253	16746
1194	5257	16740
1195	5261	16734
1196	5266	16730
1197	5270	16726
1198	5274	16721
1199	5279	16719
1200	5284	16714
1201	5288	16709
1202	5292	16704
1203	5297	16701
1204	5301	16695
1205	5305	16690
1206	5309	16685
1207	5314	16683
1208	5319	16680
1209	5324	16676
1210	5330	16678
1211	5335	16674
1212	5339	16669
1213	5344	16668
1214	5348	16661
1215	5352	16656
1216	5356	16650
1217	5360	16646
1218	5364	16639
1219	5368	16633
1220	5372	16628
1221	5377	16625
1222	5381	16618
1223	5384	16611
1224	5389	16607
1225	5394	16604
1226	5398	16601
1227	5403	16596
1228	5407	16591
1229	5412	16588
1230	5416	16584
1231	5421	16581
1232	5426	16579
1233	5430	16573
1234	5434	16568
1235	5439	16563
1236	5444	16560
1237	5448	16557
1238	5453	16553
1239	5458	16551
1240	5462	16547
1241	5466	16541
1242	5470	16535
1243	5475	16532
1244	5479	16526
1245	5483	16521
1246	5487	16515
1247	5491	16510
1248	5495	16505
1249	5499	16499
1250	5504	16494
1251	5508	16490
1252	5512	16485
1253	5516	16479
1254	5520	16473
1255	5525	16469
1256	5529	16464
1257	5533	16459
1258	5537	16452
1259	5541	16449
1260	5545	16444
1261	5550	16439
1262	5555	16436
1263	5559	16430
1264	5563	16425
1265	5567	16420
1266	5572	16418
1267	5576	16413
1268	5580	16407
1269	5584	16402
1270	5589	16398
1271	5593	16392
1272	5597	16386
1273	5601	16380
1274	5605	16376
1275	5609	16370
1276	5612	16363
1277	5617	16360
1278	5621	16355
1279	5625	16350
1280	5629	16344
1281	5633	16338
1282	5638	16334
1283	5642	16329
1284	5646	16323
1285	5650	16319
1286	5654	16313
1287	5658	16308
1288	5663	16304
1289	5667	16300
1290	5672	16296
1291	5676	16292
1292	5680	16286
1293	5684	16281
1294	5688	16275
1295	5692	16270
1296	5697	16265
1297	5701	16261
1298	5705	16255
1299	5709	16250
1300	5713	16245
1301	5718	16241
1302	5722	16236
1303	5726	16230
1304	5730	16225
1305	5735	16223
